Time,Current (A),RRCF Anomaly Score,Outlier
2008-04-19,11.261264779141367,6.739685154757519,False
2008-04-20,11.253632606834671,7.786917387555258,False
2008-04-21,11.268991403360069,8.183628320033113,False
2008-04-22,11.255352005081706,10.387087507159757,False
2008-04-23,11.262217765762037,10.173606119241953,False
2008-04-24,10.535107374085502,10.4467948010919,False
2008-04-25,11.282519526731784,9.531139164661658,False
2008-04-26,11.29403553795896,8.105247077956445,False
2008-04-27,11.265374175556214,10.41604866330758,False
2008-04-28,10.578710945946208,9.95910954937548,False
2008-04-29,10.547136037972138,8.262397618819849,False
2008-04-30,11.27014341130519,8.73378790889363,False
2008-05-01,11.236539803143703,8.930383844860225,False
2008-05-02,11.262365756555758,9.071493671895565,False
2008-05-03,11.223417388171194,10.288332682840029,False
2008-05-04,11.224901583553667,10.525490123593828,False
2008-05-05,11.269958944444447,10.440233707804175,False
2008-05-06,11.207036315193477,9.368625905796174,False
2008-05-07,11.425075173474474,11.319338480092856,False
2008-05-08,11.613362354230087,11.021946613509678,False
2008-05-09,10.415636171473386,9.50055540295915,False
2008-05-10,11.095363439323233,58.0057992054557,False
2008-05-11,11.089752465860418,64.22028824724671,False
2008-05-12,11.081542134461042,66.13868070610195,False
2008-05-13,10.78245703948493,72.02652762289223,False
2008-05-14,11.093244622201302,64.21485414963061,False
2008-05-15,11.084917414326897,60.03809234812317,False
2008-05-16,11.079995327359311,69.49266197823506,False
2008-05-17,11.082995265325458,83.39098761282574,False
2008-05-18,11.098525770147868,69.94617393962247,False
2008-05-19,11.098425251748248,76.07880641966256,False
2008-05-20,10.416247325449342,67.0184162655202,False
2008-05-21,10.305783888148193,75.82308551886997,False
2008-05-22,10.359531028574017,78.01072119474094,False
2008-05-23,10.397528723892744,70.02303719185053,False
2008-05-24,10.389519995576016,79.52313573651112,False
2008-05-25,11.111832646390582,84.26575705329151,False
2008-05-26,11.121957588668533,91.40376405616259,False
2008-05-27,6.106665082930638,79.29435536685531,False
2008-05-28,10.42744534224622,6.8313313080082825,False
2008-05-29,11.109259973852199,6.526477503441974,False
2008-05-30,11.119601501680977,6.70802527824779,False
2008-05-31,11.097510864384988,8.45347651168938,False
2008-06-01,11.11016376213516,10.788621364724882,False
2008-06-02,11.110994807404664,11.238539824221668,False
2008-06-03,11.109817440791753,10.575839364690736,False
2008-06-04,11.089807450439237,10.704703978697175,False
2008-06-05,10.453397656124926,10.767423361645928,False
2008-06-06,11.110878763840196,10.998131008109636,False
2008-06-07,11.11237983949872,22.059077067296627,False
2008-06-08,11.106044770488909,20.956475722008825,False
2008-06-09,11.104981365557911,23.97331414172359,False
2008-06-10,11.112947381482286,24.335303392804914,False
2008-06-11,11.109155646833644,22.9690412807222,False
2008-06-12,11.102561336574421,18.880305175642537,False
2008-06-13,11.10434093693634,20.429615171670005,False
2008-06-14,10.525182126377723,25.01864180809816,False
2008-06-15,11.121898168784591,26.478520123262516,False
2008-06-16,10.871624684131202,24.814917872694025,False
2008-06-17,10.247637600703325,23.42535450440675,False
2008-06-18,11.681131085103175,21.72101624717211,False
2008-06-19,11.1175285544198,19.21477474106561,False
2008-06-20,10.428462577610704,20.757920281198732,False
2008-06-21,11.120698818875992,23.537837712131534,False
2008-06-22,11.135593969771511,25.49040886441298,False
2008-06-23,11.120926850075577,22.935364597720408,False
2008-06-24,9.146188754786477,22.94176444226075,False
2008-06-25,10.048117931519569,10.43098175752585,False
2008-06-26,11.218646206152618,4.875757357141351,False
2008-06-27,11.206106127035005,4.549779783387849,False
2008-06-28,11.206121119750819,4.2177381744436655,False
2008-06-29,11.210100077315838,5.3414441229802385,False
2008-06-30,11.204081699207899,4.8917832345921815,False
2008-07-01,11.195267698522718,4.625116089650528,False
2008-07-02,11.196414978164803,5.7264569807023715,False
2008-07-03,11.220980578316428,4.496074040952042,False
2008-07-04,11.213091433343957,5.553327151345838,False
2008-07-05,11.23896490285779,5.906170585820584,False
2008-07-06,11.263429518015457,4.866464783696128,False
2008-07-07,11.321822575225784,4.819827618021498,False
