Time,Voltage (V),ARIMA
2001-03-05,32.612614079175806,-0.029995741407740792
2001-03-06,32.60328587763244,-0.029995169705159037
2001-03-07,32.603937278320416,-0.02999464527552493
2001-03-08,32.60250572590849,-0.029994160019304453
2001-03-09,32.580847213469674,-0.029993711936148852
2001-03-10,32.61632898598382,-0.029993307433486084
2001-03-11,32.619851745272896,-0.029992917227150556
2001-03-12,32.62047381278759,-0.02999255478551449
2001-03-13,32.625141419936,-0.02999221933902515
2001-03-14,32.63167029494581,-0.029991907014861298
2001-03-15,32.62872385827385,-0.029991615225728352
2001-03-16,32.62849033533404,-0.029991346738265173
2001-03-17,32.62747978673599,-0.02999109856410062
2001-03-18,32.62569732624545,-0.029990869528025557
2001-03-19,32.63060686418699,-0.02999065854095275
2001-03-20,32.63696685041897,-0.02999046119898291
2001-03-21,32.63423739814658,-0.029990275815062063
2001-03-22,32.6442873464507,-0.029990105625745375
2001-03-23,32.64892199454101,-0.029989943671623526
2001-03-24,32.64729412182085,-0.02998979179736519
2001-03-25,32.64039213866911,-0.02998965209436965
2001-03-26,32.64178847332447,-0.02998952604681293
2001-03-27,32.6332372127673,-0.029989408850440172
2001-03-28,32.462495335967766,-0.029989304366178693
2001-03-29,32.453264729348625,-0.029989285449230775
2001-03-30,32.458187920808825,-0.02998927215681079
2001-03-31,32.47465924410882,-0.029989257624296987
2001-04-01,32.613888441202235,-0.029989236689538415
2001-04-02,32.596740070875384,-0.029989153968034088
2001-04-03,32.61380237219246,-0.02998908527646959
2001-04-04,32.606732520811825,-0.029989013989852188
2001-04-05,32.61255477761124,-0.0299889512858854
2001-04-06,32.60971210785581,-0.02998889065149924
2001-04-07,32.60695554978975,-0.029988835874286517
2001-04-08,32.58590509494483,-0.029988786474233142
2001-04-09,32.573114345760246,-0.029988750372080313
2001-04-10,32.5805451454601,-0.029988722808054577
2001-04-11,32.58056673523197,-0.029988693936853737
2001-04-12,32.57757687489467,-0.029988667228744617
2001-04-13,32.57911958545018,-0.029988643891419975
2001-04-14,32.61853351359929,-0.029988621608441346
2001-04-15,32.60639332486042,-0.02998858306549905
2001-04-16,32.61061988132712,-0.029988552948317558
2001-04-17,32.619661125363564,-0.029988523174348962
2001-04-18,32.61323094914316,-0.029988491526627678
2001-04-19,32.5986922628212,-0.02998846518712462
2001-04-20,32.609497312847054,-0.029988447446463146
2001-04-21,32.628378069858414,-0.029988426123695698
2001-04-22,32.63758267044158,-0.029988397813215988
2001-04-23,32.64612865836206,-0.029988367444495276
2001-04-24,32.644084795605835,-0.029988335472172355
2001-04-25,32.64658363867073,-0.029988306836313823
2001-04-26,32.6394106024159,-0.029988279218451888
2001-04-27,32.63495360536559,-0.029988256943582127
2001-04-28,32.642402240099884,-0.029988238373525253
2001-04-29,32.63898198663267,-0.029988217811268578
2001-04-30,32.63660776817004,-0.029988200353113753
2001-05-01,32.63682017744791,-0.029988185289394426
2001-05-02,32.63757554739158,-0.029988171262741246
2001-05-03,32.63516059879185,-0.029988157948004038
2001-05-04,32.63877604298775,-0.029988146734394636
2001-05-05,32.64319658162709,-0.029988134719382553
2001-05-06,32.65075147752273,-0.0299881215968898
2001-05-07,32.6426197537975,-0.02998810602384147
2001-05-08,32.653720173214886,-0.02998809532355598
2001-05-09,32.656503701001085,-0.029988080376867836
2001-05-10,32.649445625819695,-0.029988065288337647
2001-05-11,32.64418460382144,-0.02998805454749346
2001-05-12,32.61743519810766,-0.029988047009290024
2001-05-13,32.65821411805692,-0.029988052211919365
2001-05-14,32.65820159624956,-0.029988038464751732
2001-05-15,32.65639223337428,-0.02998802575792809
2001-05-16,32.657589735801324,-0.02998801483088088
2001-05-17,32.65911414899091,-0.02998800418125397
2001-05-18,32.673724860331205,-0.02998799363939296
2001-05-19,32.68540870025204,-0.029987977241693733
2001-05-20,32.67962023170291,-0.029987956760882062
2001-05-21,32.6803914229296,-0.029987940455802532
2001-05-22,32.67239779011837,-0.02998792502691873
2001-05-23,32.66820478649195,-0.02998791439710327
2001-05-24,32.670626797740724,-0.029987906475523705
2001-05-25,32.676591159707215,-0.02998789804789921
2001-05-26,32.66995671820319,-0.029987887540214052
2001-05-27,32.66880818839348,-0.029987880842656245
2001-05-28,32.668948960859154,-0.029987875171861807
