Time,Current (A),Autoencoder
2004-06-05,0.9291889689527589,0.913546085357666
2004-06-06,0.9263219545843819,0.9165728092193604
2004-06-07,0.926213091897633,0.9063368439674377
2004-06-08,0.924546889884076,0.9020301103591919
2004-06-09,0.9231911344241832,0.9125131368637085
2004-06-10,0.9254387047460797,0.910575807094574
2004-06-11,0.9229296467504379,0.9081987142562866
2004-06-12,0.9221290290788798,0.9158906936645508
2004-06-13,0.9228067908297307,0.9094323515892029
2004-06-14,0.9248907425840965,0.9061965346336365
2004-06-15,0.9224728226904956,0.9100824594497681
2004-06-16,0.9220724618309089,0.9132227897644043
2004-06-17,0.922747313488176,0.9080143570899963
2004-06-18,0.9254438849199156,0.9068207740783691
2004-06-19,0.8970396589860634,0.9067242741584778
2004-06-20,0.9220761069423382,0.8978090882301331
2004-06-21,0.9226957190662068,0.9007883071899414
