Time,Current (A),Rolling Mean,Outlier
2006-08-15,11.99932964444443,11.607674113896785,False
2006-08-16,12.04171520140635,11.612996041346758,False
2006-08-17,12.057254361284116,11.619469244827515,False
2006-08-18,11.416708760883427,11.613201359677975,False
2006-08-19,12.046117205091903,11.618835358892575,False
2006-08-20,12.045234937259236,11.624157716798345,False
2006-08-21,11.99721884184359,11.629216155462522,False
2006-08-22,12.030450806077313,11.64222678367165,False
2006-08-23,12.017339318343305,11.647338589913721,False
2006-08-24,12.008962456324262,11.651909073886015,False
2006-08-25,11.302696687578182,11.6439975590107,False
2006-08-26,12.100393668690439,11.650782439508369,False
2006-08-27,11.355190329293158,11.643433861184404,False
2006-08-28,12.033304124494029,11.64904436414293,False
2006-08-29,12.048874489041898,11.654917747254961,False
2006-08-30,12.111154272697313,11.661925068417851,False
2006-08-31,12.117892626815054,11.668240778803225,False
2006-09-01,12.148570964470395,11.691764152446373,False
2006-09-02,12.159738968325328,11.720376955852075,False
2006-09-03,12.193894565974581,11.742426088365198,False
2006-09-04,12.202970482582025,11.75013814900008,False
2006-09-05,12.126121911111126,11.755929333572706,False
2006-09-06,12.18867370386697,11.762985948579008,False
2006-09-07,12.193873349639876,11.773229386902056,False
2006-09-08,12.19340278332289,11.781567782660137,False
2006-09-09,12.168230106575196,11.788503442097293,False
2006-09-10,12.185564762577002,11.807587344523293,False
2006-09-11,12.116909698510256,11.814826746206965,False
2006-09-12,12.119052873805535,11.819867473734135,False
2006-09-13,12.191045242299142,11.827744379319725,False
2006-09-14,12.133488485281624,11.834968977085865,False
2006-09-15,12.17736355967849,11.843670533061465,False
2006-09-16,11.432084038097875,11.862675551787026,False
2006-09-17,12.163853012471053,11.870190108034857,False
2006-09-18,12.114022331677262,11.875188243960483,False
2006-09-19,11.939738932085953,11.876762560025735,False
2006-09-20,11.934218953114458,11.877347380241973,False
2006-09-21,11.89757934358864,11.877396041482038,False
2006-09-22,11.867806568012574,11.884761876074025,False
2006-09-23,11.909860840053945,11.890052850044894,False
2006-09-24,11.868449376065376,11.889802002337644,False
2006-09-25,11.881646253536976,11.905806733662395,False
2006-09-26,11.879621794425118,11.922054933643837,False
2006-09-27,11.881062707724428,11.986628407537957,False
2006-09-28,11.830048880903899,11.98590332614113,False
2006-09-29,11.860677011971154,11.984104811747944,False
2006-09-30,11.842681657655088,11.983238906874886,False
2006-10-01,11.820753236915436,11.982197203839883,False
2006-10-02,11.844758126386091,11.979897069188366,False
2006-10-03,11.843669262949305,11.978003143099825,False
2006-10-04,11.132924788276966,11.964119249587233,False
2006-10-05,10.260646536799836,11.932123391812947,False
2006-10-06,11.776746567530699,11.928520554902466,False
2006-10-07,11.785374353445027,11.924483662619462,False
2006-10-08,11.784331020170155,11.919627357313116,False
2006-10-09,11.7784993315572,11.914367828450345,False
2006-10-10,10.98774141420965,11.906274104928196,False
2006-10-11,11.64260905752029,11.89866074365326,False
2006-10-12,10.88193456749088,11.876711680072727,False
2006-10-13,10.641573708599166,11.851133470011511,False
2006-10-14,11.837297068890607,11.847489059875913,False
2006-10-15,11.822644232513369,11.843815567690447,False
2006-10-16,11.818815290191553,11.840227885310581,False
2006-10-17,10.847399712143808,11.83163737634012,False
2006-10-18,11.89741114846214,11.827807517467887,False
2006-10-19,11.192751782172737,11.824742639220332,False
2006-10-20,11.883066675048175,11.821907970362865,False
2006-10-21,11.188049721809511,11.805665993622632,False
2006-10-22,11.888335122781436,11.80146185871856,False
2006-10-23,11.866280514722051,11.796714460377181,False
2006-10-24,11.857620352037182,11.791224826180327,False
2006-10-25,9.6105925560223,11.743127724061404,False
2006-10-26,11.112551849320907,11.72272503129435,False
2006-10-27,11.840037147458224,11.71587723251843,False
2006-10-28,11.836727090323462,11.710416952880928,False
2006-10-29,11.836261042202759,11.703767657377831,False
2006-10-30,11.847010640018597,11.697223077951016,False
2006-10-31,11.827309672392031,11.690315660763645,False
2006-11-01,11.825303381308508,11.683845345192573,False
2006-11-02,11.833887789709294,11.677209930610163,False
2006-11-03,11.837225006809149,11.671932860955426,False
2006-11-04,11.824375663191235,11.666372913585345,False
2006-11-05,11.821438941793295,11.659399209802213,False
2006-11-06,11.83067795785086,11.653685803624274,False
2006-11-07,11.82655691298281,11.647066810290394,False
2006-11-08,11.45747086187952,11.647545806965521,False
2006-11-09,11.473989216194267,11.634529508922563,False
2006-11-10,11.832958402385087,11.629226415917051,False
2006-11-11,11.34350261014694,11.617976673993676,False
2006-11-12,11.42893320737998,11.608442980677928,False
2006-11-13,11.816626891747644,11.60691557592621,False
2006-11-14,11.840573889259494,11.606401751798794,False
2006-11-15,11.835633855427439,11.605001242654893,False
2006-11-16,11.851240551162775,11.604676547845411,False
2006-11-17,11.868936303308216,11.604436737463741,False
2006-11-18,11.913517166558087,11.605076272787,False
2006-11-19,11.906500631358506,11.605556233610287,False
2006-11-20,11.923903533057015,11.607327076103742,False
2006-11-21,11.939754099610086,11.608819096625233,False
2006-11-22,11.983307926389534,11.611472422450412,False
2006-11-23,11.965829346555564,11.614209707537961,False
2006-11-24,11.970292033262524,11.616578271818645,False
2006-11-25,11.984957280870182,11.619244083477527,False
2006-11-26,12.018793315550539,11.635958583992126,False
2006-11-27,11.994855733503922,11.668679512231824,False
2006-11-28,11.997765881899548,11.672849687974631,False
2006-11-29,12.013086537280858,11.677146144273419,False
2006-11-30,10.951963509285722,11.661441096898244,False
2006-12-01,12.010287195483613,11.665814452821381,False
2006-12-02,12.015167760832169,11.685199855587845,False
2006-12-03,12.034606846512425,11.692596040285812,False
2006-12-04,12.03677037351902,11.71438539511653,False
2006-12-05,12.020242166936065,11.740398007537982,False
2006-12-06,12.020237894262385,11.743849721224242,False
2006-12-07,12.0507516906,11.748153635527766,False
2006-12-08,12.029306466972995,11.752125167165152,False
2006-12-09,12.022560531013566,11.774298012804206,False
2006-12-10,12.019721445468605,11.77660575425716,False
2006-12-11,12.056182085511944,11.79289689205601,False
2006-12-12,12.382526755555524,11.802320667159922,False
2006-12-13,11.225548925095573,11.803028199297394,False
2006-12-14,12.009090853742785,11.805306609315537,False
2006-12-15,12.049675014465285,11.808766882895595,False
2006-12-16,12.006842180501554,11.811582389093035,False
2006-12-17,12.007690882934096,11.856810659412124,False
2006-12-18,12.010996449935725,11.873762444329385,False
