Time,RPM,ARIMA
2009-10-15,0.0,53.59569191986316
2009-10-16,0.0,53.59569191982816
2009-10-17,0.0,53.5956919197994
2009-10-18,0.0,53.59569191977576
2009-10-19,0.0,53.59569191975633
2009-10-20,0.0,53.595691919740354
2009-10-21,0.0,53.59569191972722
2009-10-22,0.0,53.59569191971642
2009-10-23,0.0,53.59569191970755
2009-10-24,0.0,53.59569191970025
2009-10-25,0.0,53.595691919694254
2009-10-26,0.0,53.59569191968932
2009-10-27,0.0,53.59569191968527
2009-10-28,0.0,53.59569191968194
2009-10-29,0.0,53.595691919679204
2009-10-30,0.0,53.59569191967696
2009-10-31,0.0,53.595691919675104
2009-11-01,0.0,53.595691919673584
2009-11-02,0.0,53.59569191967234
2009-11-03,0.0,53.59569191967132
2009-11-04,0.0,53.59569191967047
